Date,Open,High,Low,Close
1984-05-31,2.2449,2.2902,2.242,2.2601
1984-06-30,2.2296,2.3361,2.2262,2.331
1984-07-31,2.3424,2.4724,2.3424,2.4724
1984-08-31,2.4651,2.4651,2.3754,2.4094
1984-09-30,2.4476,2.5572,2.4476,2.5328
1984-10-31,2.5229,2.5718,2.4751,2.4939
1984-11-30,2.458,2.555,2.4101,2.555
1984-12-31,2.5654,2.601,2.5261,2.601
1985-01-31,2.6171,2.6837,2.6171,2.6749
1985-02-28,2.7044,2.9171,2.7044,2.8571
1985-03-31,2.861,2.9245,2.5999,2.5999
1985-04-30,2.639,2.6888,2.4766,2.6001
1985-05-31,2.6399,2.7109,2.5669,2.5751
1985-06-30,2.561,2.613,2.5299,2.5411
1985-07-31,2.5491,2.5491,2.2901,2.2938
1985-08-31,2.3198,2.3624,2.244,2.3101
1985-09-30,2.3521,2.4401,2.1922,2.195
1985-10-31,2.1679,2.205,2.1468,2.151
1985-11-30,2.136,2.1602,2.0811,2.0811
1985-12-31,2.1049,2.1289,2.0599,2.0599
1986-01-31,2.0499,2.094,2.02,2.036
1986-02-28,2.0355,2.0436,1.8761,1.8881
1986-03-31,1.8801,1.961,1.8721,1.956
1986-04-30,1.9521,2.0132,1.8085,1.813
1986-05-31,1.8459,1.9335,1.8046,1.9335
1986-06-30,1.9294,1.9294,1.7964,1.7964
1986-07-31,1.7731,1.79,1.678,1.678
1986-08-31,1.6704,1.6876,1.641,1.641
1986-09-30,1.639,1.6995,1.6039,1.6471
1986-10-31,1.6404,1.7109,1.615,1.7109
1986-11-30,1.7181,1.726,1.643,1.643
1986-12-31,1.638,1.705,1.614,1.614
1987-01-31,1.61,1.6291,1.503,1.5461
1987-02-28,1.5256,1.5659,1.518,1.5385
1987-03-31,1.5417,1.5698,1.5055,1.5055
1987-04-30,1.5215,1.53,1.4605,1.4769
1987-05-31,1.4609,1.5125,1.4525,1.5125
1987-06-30,1.5219,1.5285,1.4832,1.5156
1987-07-31,1.5196,1.5505,1.5196,1.5385
1987-08-31,1.5441,1.5771,1.4921,1.4935
1987-09-30,1.4976,1.5335,1.483,1.5335
1987-10-31,1.534,1.5355,1.4289,1.4289
1987-11-30,1.4163,1.4163,1.3455,1.3455
1987-12-31,1.3609,1.3665,1.2715,1.2715
1988-01-31,1.285,1.372,1.285,1.3674
1988-02-29,1.3825,1.407,1.3731,1.3924
1988-03-31,1.3918,1.407,1.3626,1.3626
1988-04-30,1.365,1.405,1.3634,1.3936
1988-05-31,1.398,1.4439,1.3939,1.4439
1988-06-30,1.4411,1.5155,1.429,1.5059
1988-07-31,1.5136,1.5625,1.5099,1.562
1988-08-31,1.5621,1.6117,1.5621,1.5849
1988-09-30,1.581,1.5935,1.5535,1.5834
1988-10-31,1.5789,1.5832,1.4955,1.5014
1988-11-30,1.5005,1.5036,1.4371,1.4535
1988-12-31,1.4526,1.5149,1.445,1.5019
1989-01-31,1.4974,1.5996,1.4974,1.5996
1989-02-28,1.584,1.5975,1.5525,1.5549
1989-03-31,1.5686,1.6624,1.5686,1.6624
1989-04-30,1.6496,1.6736,1.6278,1.6736
1989-05-31,1.6895,1.7922,1.6779,1.7062
1989-06-30,1.705,1.7554,1.665,1.6789
1989-07-31,1.6539,1.6539,1.5961,1.6065
1989-08-31,1.6074,1.6969,1.5922,1.688
1989-09-30,1.71,1.7269,1.6228,1.6228
1989-10-31,1.6245,1.673,1.6019,1.6145
1989-11-30,1.6139,1.641,1.5885,1.5916
1989-12-31,1.5925,1.6,1.536,1.5409
1990-01-31,1.5768,1.5786,1.486,1.504
1990-02-28,1.4982,1.4982,1.4724,1.4915
